name,category,phone_number,address,website,latitude,longitude,place_id
Malik And Malik Plumbing Contractor,plumber,,"Shop 02, Nipaniya Rd, Simla Park Duplex, Nipania, Indore, Madhya Pradesh 452010",https://malikplumbing.com,22.7640848,75.9211311,
"Aagam Sanitation (Plumber Bathware Authorised Dealer) | Sanitaryware, Designer Wash Basins, Bathroom Fittings, Astral Pipes",plumber,07000270655,"G6, New Siyaganj Rd, opposite Chimney, New Siyaganj, Indore, Madhya Pradesh 452003",https://plumberbathware.com,,,
plumber works,plumber,09753590896,"PV75+VJ6, 12, Kabutar Khana, Indore, Madhya Pradesh 452007",,22.7146569,75.8590237,
M.A TRADERS Plumbing and Sanitary Shop,plumber,07000573506,"141/1, Netaji Subhash Marg, Imli Bazar, Indore, Madhya Pradesh 452002",https://instagram.com,22.7222718,75.8518712,
Aayat Plumber,plumber,,"309, Ganeshpuri, Khajrana, Indore, Madhya Pradesh 452016",,,,
Chouhan plumber,plumber,07389362964,,,22.7239727,75.8638499,
Gatepe,plumber,09644154054,"Silver Mall, GatePe, 204- Block A, RNT Marg, Indore, Madhya Pradesh 452001",https://gatepe.com,,,
RAJ PLUMBER SERVICES,plumber,07987398703,"80 feet road, Kabit Khedi Main Rd, Bulandshahr, Lahiya Colony, Indore, Madhya Pradesh 452010",,,,
ADARSH PLUMBER AND WORK,plumber,09685848817,"Tigaria Badshah, Indore, Madhya Pradesh 452015",,,,
JK Plumbing & Sanitary Services,plumber,,"Azad Nagar, Indore, Madhya Pradesh 452001",,,,
Plumber Service Solution Pvt Ltd ..__ Indore,plumber,,"Raj Nagar, Indore, Madhya Pradesh 450001",,,,
Valet Groups,plumber,09575077772,"Mz 19, Yashwant Plaza, near Railway Station Road, Flim Colony, Chhoti Gwaltoli, Indore, Madhya Pradesh 452010",https://valetgroups.com,,,
Plumber Service Ritesh Patel Indore Raj Nagar,plumber,,"Raj Nagar, Indore, Madhya Pradesh 452001",,,,
Plumber DHARMENDRA JI,plumber,09770346162,"Sch, no.51sangam, nagar, Scheme No 51, Indore, Madhya Pradesh 452006",,,,
JATWA Plumber & Watar Proofing Construction,plumber,,,,,,
QuickFix Plumbing Services Indore,plumber,08518086228,,https://qfservices.lovable.app,22.7239727,75.8638499,
