name,address,phone,category,area,lat,lng,place_id,url
JK Plumbing & Sanitary Services,"Azad Nagar, Indore, Madhya Pradesh 452001",,plumber,,,,,
Plumber Service Solution Pvt Ltd ..__ Indore,"Raj Nagar, Indore, Madhya Pradesh 450001",,plumber,,,,,
Valet Groups,"Mz 19, Yashwant Plaza, near Railway Station Road, Flim Colony, Chhoti Gwaltoli, Indore, Madhya Pradesh 452010",,plumber,,,,,
Plumber Service Ritesh Patel Indore Raj Nagar,"Raj Nagar, Indore, Madhya Pradesh 452001",,plumber,,,,,
Plumber DHARMENDRA JI,"Sch, no.51sangam, nagar, Scheme No 51, Indore, Madhya Pradesh 452006",,plumber,,,,,
JATWA Plumber & Watar Proofing Construction,,,plumber,,,,,
QuickFix Plumbing Services Indore,,,plumber,,,,,
Hitesh Hardware,"Shop no 11 plot number1, sarwanand, Bholaram Ustad Marg, Bholaram Ustad Market, Sector C, Brahmapuri Colony, Bhanwar Kuwa, Indore, Madhya Pradesh 452001",,plumber,,,,,
Home Care Solution,"Bicholi Hapsi Main Rd, Bicholi Mardana, Indore, Madhya Pradesh 452016",,plumber,,,,,
S.A. Sales And Service Waterproofing and Agency,"H.No. 1057 Sector A-1,S, 136, Niranjanpur - Kabit Khedi, Indore, Madhya Pradesh 452010",,plumber,,,,,
Plumbing and electric work,,,plumber,,,,,
Jay Shri Shyam,"Maruti place, 57 /2, Vindhyanchal Nagar, Indore, Madhya Pradesh 452002",,plumber,,,,,
Shree sawaliya plumbing,"546/3 indore banganga, Kushwah Nagar Main Rd, Roshan Bagh Colony, Yadav Nand Nagar, Indore, Madhya Pradesh 452015",,plumber,,,,,
PLUMBER LOUNGE,"158-159, Behind C21 Mall, Scheme 54 PU4, Indore, Madhya Pradesh 452010",,plumber,,,,,
Bageshwar plumber sarvice | बागेश्वर प्लंबर सर्विस,"Dewas Naka, Shree Nagar, Indore, Madhya Pradesh 452018",,plumber,,,,,
Mahalaxmi sanitary ware and tiles,"73, Kanadia Rd, opposite Aashirwad Complex, Sector A, Sanvid Nagar, Indore, Madhya Pradesh 452018",,plumber,,,,,
HARISH LIFESTYLE,"A-2, Paththar Godown Rd, New Siyaganj, Mal, Indore, Madhya Pradesh 452003",,plumber,,,,,
"Scientific Refractories (Flange Manufacturer, Zoloto, Indiano, DRP Valves, Plumber Bathware Authorised Dealer/Distributor)","MS-B 202-203, Paththar Godown Rd, New Siyaganj, Indore GPO, Indore, Madhya Pradesh 452003",,plumber,,,,,
"Bhagwati Enterprises (Plumber Bathware Authorised Dealer) | Sanitaryware, bathroom fittings, Astral Pipes,Oryn Bath","9, venkatesh nagar, Airport Rd, Sukhdev Nagar, Indore, Madhya Pradesh 452005",,plumber,,,,,
Chaurasiya plumbing service,"Nanda Nagar, Indore, Madhya Pradesh 452001",,plumber,,,,,
Perfect Enterprises | colors | plumber | Bathroom Fittings | GandiNagar indore | Berger | Asian paints | low price,"175 D, opp. Tulsi vardan hospital, Nainod Marke, Gandhi Nagar, Indore, Madhya Pradesh 452005",,plumber,,,,,
Plumber Bathware,"Scheme No 54, Indore, Madhya Pradesh 452010",,plumber,,,,,
Naresh Services company,"193/B, Prajapat Nagar, Futi Kothi Square, Sudama Nagar, Indore, Madhya Pradesh 452009",,plumber,,,,,
Plumber Bathware Authorised Dealer : BALRAM TRADERS,"Emerald City, 181, MR 12 Rd, near by Aurobindo hospital, Jakhya, Indore, Madhya Pradesh 453555",,plumber,,,,,
The classy services,"4, Chhatribagh Rd, Janata Colony, Indore, Madhya Pradesh 452007",,plumber,,,,,
Distributor House,"Shalimar Plaza 12, Jawahar Marg, Near Patel Bridge, Ida Building, Jawahar Marg, Indore, Madhya Pradesh 452007",,plumber,,,,,
Laxmi Agencies ( PLUMBER STORE ),"1, Vashundhara Complex, Paththar Godown Rd, Near New Siyaganj, Nehru Park 2, Indore GPO, Indore, Madhya Pradesh 452003",,plumber,,,,,
Al Falah Home Services,"27-a Shanthi Nagar, Shrinagar, Khajrana, Indore, Madhya Pradesh 452001",,plumber,,,,,
Vashu electric plumbing contraction and home service,"devgurdiya, Dudhia, Indore, Jamniya, Madhya Pradesh 452016",,plumber,,,,,
Raj Sanitary & Plumbing,"Samajwadi Indira Nagar, Scheme 71, Indore, Madhya Pradesh 452002",,plumber,,,,,
SHARMA & ASSOCIATES FIRETECH PVT. LTD.,"6th Floor, Nexus Mall, 9B, RNT Marg, Flim Colony, South Tukoganj, Indore, Madhya Pradesh 452001",,plumber,,,,,
PATEL SANITARY & HARDWARE,"49, C, Sabji Mandi Main Rd, Mahavir Kripa Avenue, Kalani Nagar, Indore, Madhya Pradesh 452005",,plumber,,,,,
Shivaay Sanitary Ware & Bath Fittings,"FF4, Labhshree Complex, Paththar Godown Rd, New Siyaganj, Indore, Madhya Pradesh 452003",,plumber,,,,,
Aditya Home Care | Granth Auto Parts,"345, 2nd Floor, Vikram Tower, Sapna Sangeeta Rd, Old Agarwal Nagar, Indore, Madhya Pradesh 452001",,plumber,,,,,
Ripples Bathware - hindware dealers in indore | Hindware,"Labhshree Complex, New Siyaganj Rd, New Siyaganj, Indore, Madhya Pradesh 452001",,plumber,,,,,
Aasif plumbing service,,,plumber,,,,,
Arham Enterprise,"6 TS, Navlakha Rd, Loha Mandi, Indore, Madhya Pradesh 452001",,plumber,,,,,
N Hiteshi Electrical,"RS Bhandari Marg, near Shalby Hospital, Old Palasia, Indore, Madhya Pradesh 452001",,plumber,,,,,
Abhishek plumber,"MR8R+H53, Tanki chok, Bijalpur, Indore, Madhya Pradesh 452012",,plumber,,,,,
Patil Hardware,"42, 5, Kanadia Rd, Savindnagar, Sanvid Nagar, Indore, Madhya Pradesh 452018",,plumber,,,,,
Pooja sanitary And Hardware,"shop no. 3, Bangali Square, 38-39, Kanadia Rd, opposite ambika sweets, Manbhavan Nagar, Indore, Madhya Pradesh 452018",,plumber,,,,,
Jaquar Authorized Dealer - MV Patel & Company,"Plot No 15, Meera Path, nearby Nehru Park, Colony, Dhenu Market, Indore, Madhya Pradesh 452003",,plumber,,,,,
Genie Xpert,"3rd floor, sadguru Paradise pu3, 305, Scheme 54 PU4, Indore, Madhya Pradesh 452010",,plumber,,,,,
Imran plumber,,,plumber,,,,,
Rathi Brothers Home Stores ( R B Home Stores ),"Police Station, 10-16, Hukumchand Ginning Complex 49, Sheelnath Camp, near Pardesi Pura, Indore, Madhya Pradesh 452003",,plumber,,,,,
KHANDELWAL SANITARY WARES,"G-5 Centrepoint, Sapna Sangeeta Rd, Snehnagar, Indore, Madhya Pradesh 452001",,plumber,,,,,
