name,address,domain,website,phone_number,category,location,reviews_count,reviews_average,latitude,longitude,google_maps_url,image_url,image_path
Perfect Electrician service,"Prem Nagar, near Musakhedi, Musakhedi, Indore, Madhya Pradesh 452001",,,084588 94022,Electrician,Indore,233.0,4.9,22.6918442,75.8903109,"https://www.google.com/maps/place/Perfect+Electrician+service/@22.6918442,75.8903109,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd317a9007c3:0x99de31c8b0060cad!8m2!3d22.6918442!4d75.8903109!16s%2Fg%2F11t_qzww8z?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAF0RogIWZlm7Gwtl32myTHzTNnjTzZlvsdIG7nejupyvLOi1Sk4OO__UcbwLbi3dUqqU_phvvbkTw64En0kla0y_ST0GHs0bEErOa9Q_8ZXGq8uueyU-P7atZOz73YzlPXqWavo=w1024-h768-k-no,
"Durgesh Electrician, Door step Electric solution","in front of Apollo DB City, Apollo DB City, Nipania, Indore, Madhya Pradesh 452010",,,099071 42658,Electrician,Indore,108.0,4.9,22.7596323,75.9219352,"https://www.google.com/maps/place/Durgesh+Electrician,+Door+step+Electric+solution/@22.7596323,75.9219352,17z/data=!3m1!4b1!4m6!3m5!1s0x39631d8a150b46b7:0x18bb04b56775889e!8m2!3d22.7596323!4d75.9219352!16s%2Fg%2F11s7tsry02?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEinHFGClh_Z2pONYap8qZhGbCJ3RHhiwcRHoUrX68eZhRuHRXeN1oqDiiK4ObScqise_qjCyAvGGj6IlAR4bh3ffpMmBvWvM87PNY0GgcIph56mMGGc_oWo6hv4zgp50-8cJgO=w1024-h768-k-no,
Shree Balaji Electricals Services,"LG-17, Ahinsa Tower, Mahatma Gandhi Rd, Near Indraprastha Tower, South Tukoganj, Indore, Madhya Pradesh 452001",,,082259 77292,Electrician,Indore,68.0,5.0,,,https://www.google.com/maps/place/Shree+Balaji+Electricals+Services/data=!4m7!3m6!1s0x3962fd4d74fe91db:0x68defdbd198d07a6!8m2!3d22.7222258!4d75.8814947!16s%2Fg%2F11yvpl14fx!19sChIJ25H-dE39YjkRpgeNGb393mg?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFoKI5IgokLFZhUMDEGCseVFl_zGtM_CSj6kMe4Q4FAi5j3kOyisxr7KJOv1qJbhiUM88j60VTp43snsyenrAGp2wmCqTYnWr9Ycj7Jc4onRJUXAfenhvNBOUG-T7qt5dEqf05WobUrB3w=w1024-h768-k-no,
All electric working,"37 Meena Palace, near, Eastern Ring Rd, Kohinoor Colony, Indore, Madhya Pradesh 452001",,,086022 67774,Electrician,Indore,145.0,4.9,22.6918107,75.8891849,"https://www.google.com/maps/place/All+electric+working/@22.6918107,75.8891849,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdcb8c3459bf:0xb4dc88a09a014e21!8m2!3d22.6918107!4d75.8891849!16s%2Fg%2F11t9_h8my6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAGnPMawc0TK41bXy-hiabsl-zwMMqxNW6gQCOyX1D-jQBjN_5POCOnsNaHOgvIn4bxxmC4RqSpNcKTG3KHCjhDTBr22nWVPMKVXjLGsjdc5xq4l6W0x0rft8TSsJYd7fkvRpeVBGQ=w1024-h768-k-no,
Jay Shri Ganesh Electric®,"314/3sarvhara nagar, Teen Puliya, square, Indore, Madhya Pradesh 452003",jayshriganeshelectric.in,https://jayshriganeshelectric.in,097131 65903,Electrician,Indore,111.0,5.0,,,https://www.google.com/maps/place/Jay+Shri+Ganesh+Electric%C2%AE/data=!4m7!3m6!1s0x3962fd66e9d11527:0x15f20c9bc54b0107!8m2!3d22.7424559!4d75.8737614!16s%2Fg%2F11ll8r6kc8!19sChIJJxXR6Wb9YjkRBwFLxZsM8hU?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAH3FkDnARxNYrmiIzakmpx1RfEkGf5jYbCtiwCbziRGdaSyrSsFY_bXbWu3MTE2uomVXbHlpuHNCtBdfo9XnKVqYgFDr8awLy-i1o0K949lkxzmpbbaBiNQr5fYKBOC8z8VrA9AUVgcnbXf=w1024-h768-k-no,
Rehaan Electrician,"shsket 30 5, Sanvid Nagar, Indore, Madhya Pradesh 452018",,,096697 76325,Electrician,Indore,64.0,4.9,22.7254173,75.894647,"https://www.google.com/maps/place/Rehaan+Electrician/@22.7254173,75.894647,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fd8b0970a579:0x1ad408828876829c!8m2!3d22.7254173!4d75.894647!16s%2Fg%2F11gsbffxsx?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFAG5Mm7LyZYni_1kAAx3oCiEs94L6s0s9aqsL0LEYFrb5ILSuQthF5oBiHslkLKuaQwQeSOSXpg_Ze23OvWeESdMNyVySG2dwF-d61xDtpnMURdxD6EoD7DmI03KF5brboVTI=w1024-h768-k-no,
Home electrician service,"60, Airport Rd, Ratan Bagh Colony, Vyankatesh Nagar, Indore, Madhya Pradesh 452005",youtube.com,https://youtube.com,091658 83432,Electrician,Indore,156.0,5.0,22.7289058,75.82202,"https://www.google.com/maps/place/Home+electrician+service/@22.7289058,75.82202,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fda0708a7d55:0xecf5c9f627f2680a!8m2!3d22.7289058!4d75.82202!16s%2Fg%2F11vqs6s1z1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHRy_0Ju4FgYJGXci1-og_6cFctVvz-ODGPhwR2a_qYjhLRMiJj5Q-Q5Nf499wAtZ9USZ74PHcwZsyoZSdbtsrkNTD50BhqDHBsPkefEY0wb678kda1M68OeCCq_wmMqI2f8IY=w1024-h768-k-no,
Indore electrician service SKS,"Baneshwar kund, Satya Sai Bagh Colony, Nanda Nagar, Sanwer Road Industrial Area, Indore, Madhya Pradesh 452015",,,075094 76680,Electrician,Indore,5.0,5.0,22.7430414,75.8474744,"https://www.google.com/maps/place/Indore+electrician+service+SKS/@22.7430414,75.8474744,17z/data=!3m1!4b1!4m6!3m5!1s0x3962fdb1d5b74ce1:0xc6f607c2759d382f!8m2!3d22.7430414!4d75.8474744!16s%2Fg%2F11mrp24jzh?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAEG68fyqj9h_nDUkLRUV3FTERK2Yif4-UR-wzsUEA7dNDOF1tjLErYeMOFkaEtBdb2w5A99_BWOpQBgS72CrgddTeTOUkHCFULJr60UJ91jzgKA4rNtP-RoZcYje2lSHdANrBsZ1WDWJslR=w1024-h768-k-no,
Shubham Electrician,"Vijay Nagar, Scheme No 54, Indore, Madhya Pradesh 452010",,,070890 05616,Electrician,Indore,120.0,5.0,22.75521,75.8968202,"https://www.google.com/maps/place/Shubham+Electrician/@22.75521,75.8968202,17z/data=!3m1!4b1!4m6!3m5!1s0x396303b11badd18b:0xa8991f84260846a5!8m2!3d22.75521!4d75.8968202!16s%2Fg%2F11x6z5p29c?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",https://lh3.googleusercontent.com/gps-cs-s/APNQkAE6u9qkskyeGakMcbFlQRLRrAWy6qTAqEWBkjyCYT5Sf9QbHDHxKOM1_HKzDccP1NccIqWoa_DjWSMcHQkoHvsMHKjSZVkqWzAaSxvsFBOf90g4rQYW2A7FUaLDPcrfuXXFlJ_APDKjKku5=w1024-h768-k-no,
Sonu Verma Electrician,"28 /6, Pardesipura, Indore, Madhya Pradesh 452003",,,096444 88868,Electrician,Indore,32.0,4.9,,,https://www.google.com/maps/place/Sonu+Verma+Electrician/data=!4m7!3m6!1s0x3962fd196bbbc88b:0xc38d36547f4d1a9!8m2!3d22.7459572!4d75.8689566!16s%2Fg%2F11wtw_1gv6!19sChIJi8i7axn9YjkRqdH0R2XTOAw?authuser=0&hl=en&rclk=1,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHeUB5C-kKJ315Wk6Uly3dlwve5AvXZU_kkIIxaTs7a0GLYE1T8SI_g7hoSsSfU3bLuSmgVBwGBo3dImNUGFvuyWB2fPstwKSQ7SfnvapC9SvcV6GtNPwi_H_akgzp-vPy8CcARzq9OsnlW=w1024-h768-k-no,
